type,value
1,FWD-75X85G/T
1,FWD-85X85G/T
1,FWD-55A8G/T
1,FWD-65A8G/T
1,FWD-98Z9G/T
1,UN65RU8000
1,70UK6190
1,UHD60
1,QN65Q90R
1,QN55Q70RSFXZA
1,PLL1710
