CUSTOMER_NO,NAME,SALES_PRICE_GROUP_ID,PRICE_LIST_NO,PRICE_LIST_GROUP_NAME,CATALOG_NO,Catalog Description,MIN_QUANTITY,VALID_FROM_DATE,BASE_PRICE,SALES_PRICE,DESCRIPTION_DOC_TEXT,SHIPPING_DIMENSIONS,PRODUCT_COLOR,PACKAGING,SHIP_WEIGHT,U_P_C_CODE,UPCM,MPQTY,PROD_DIM_I,PROD_DIM_M,PRICE_SHEET_DATE,SALES_UNIT_MEAS,CATALOG_DESC,MODEL_NAME,ITEM_DESCRIPTION_OTHER,SERIALIZED,NOT_FOR_SALE,ITEM_STATUS,MANUFACTURER_CATEGORY_CODE,ITEM_PART_NUMBER_REPLACEMENT,ITEM_MODEL_NUMBER_REPLACEMENT,REQUIRED_ACCESSORIES,OPTIONAL_ACCESSORIES,MAP_PRICE,G_S_A_ITEM_COST,G_S_A_ITEM_SELL_PRICE,DISCOUNT_OFF_LIST,FREIGHT_POLICY,FREIGHT_CODE,FREIGHT_CLASS,DROP_SHIP,CERTIFICATE_FOR_ORIGIN,MANUFACTURER_WEBSITE_LINK,MANUFACTURER_DIVISION_NAME,ITEM_INFOCOMM_I_Q_CATEGORY,INFOCOMM_MEMBER_NUMBER,NOTES
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,GC-X360S-B,Game Console Security Covers For XBOX 360S?,1,24-Jul-19,79.99,40.64,Game Console Security Covers For XBOX 360S?,"15.25 x 7.75 x 15.25"" (387 x 197 x 387mm)",BLACK,Plain,7.1,7.35029E+11,1.0735E+13,0,10.65 X 3.27 X 12.53,270 X 83 X 318,   ,EA,Game Console Security Covers For XBOX 360S?,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,GC-X360S-W,Game Console Security Covers For XBOX 360S?,1,24-Jul-19,79.99,40.64,Game Console Security Covers For XBOX 360S?,"15.25 x 7.75 x 15.25"" (387 x 197 x 387mm)",WHITE,Plain,7.1,7.35029E+11,1.0735E+13,0,10.65 X 3.27 X 12.53,270 X 83 X 318,   ,EA,Game Console Security Covers For XBOX 360S?,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,HDS-S,HD FLOW SHELF,1,24-Jul-19,29,0,HD Flow Wall Shelf,"9.50 x 2.50 x 12.25"" (241 x 64 x 311mm)",BLACK,Plain,1.5,7.35029E+11,1.0735E+13,0,"8.00"" x 1.31"" x 7.71""",203 x 33 x 196,   ,EA,HD FLOW SHELF,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,HPF-OLED,Pull Out Pivot Wall Mount for LG OLED 55/65EW960H,1,24-Jul-19,261,135.8,Pull Out Pivot Wall Mount for LG OLED 55/65EW960H,"6.13 x 24.88 x 15.75"" (156 x 632 x 400mm)",BLACK,P,18.6,7.35029E+11,1.0735E+13,0,20.65 x 14.67 x 2.63,524 x 372 x 67,   ,EA,Pull Out Pivot Wall Mount for LG OLED 55/65EW960H,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IB40,"In-wall Box For up to 40"" TV's. Mount sold separately",1,24-Jul-19,179,83.33,"In-wall Box For up to 40"" TV's. Mount sold separately","21.06 x 4.25 x 22.38"" (535 x 108 x 568mm)",BLACK,Plain,14.23,7.35029E+11,1.0735E+13,0,16.25 x 14.50 x 3.77,413 x 368 x 96,   ,EA,"In-wall Box For up to 40"" TV's. Mount sold separately",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IB40-S,"In-wall Box For up to 40"" TV's. Mount sold separately",1,24-Jul-19,179,83.33,"In-wall Box For up to 40"" TV's. Mount sold separately","21.06 x 4.25 x 22.38"" (535 x 108 x 568mm)",SILVER,Plain,14.23,7.35029E+11,1.0735E+13,0,16.25 x 14.50 x 3.77,413 x 368 x 96,   ,EA,"In-wall Box For up to 40"" TV's. Mount sold separately",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IB40-W,"In-wall Box For up to 40"" TV's. Mount sold separately",1,24-Jul-19,179,83.33,"In-wall Box For up to 40"" TV's. Mount sold separately","21.06 x 4.25 x 22.38"" (535 x 108 x 568mm)",WHITE,Plain,14.23,7.35029E+11,1.0735E+13,0,16.25 x 14.50 x 3.77,413 x 368 x 96,   ,EA,"In-wall Box For up to 40"" TV's. Mount sold separately",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA2,In-Wall Accessories Box,1,24-Jul-19,85,41.85,In-Wall Accessories Box,"12.31 x 4.13 x 20.31"" (313 x 105 x 516mm)",BLACK,Plain,6.5,7.35029E+11,1.0735E+13,0,13.10 X 9.6 X 3.76,333 X 244 X 96,   ,EA,In-Wall Accessories Box,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA2-W,In-Wall Accessories Box,1,24-Jul-19,85,41.85,In-Wall Accessories Box,"12.31 x 4.13 x 20.31"" (313 x 105 x 516mm)",WHITE,Plain,6.5,7.35029E+11,1.0735E+13,0,13.10 X 9.6 X 3.76,333 X 244 X 96,   ,EA,In-Wall Accessories Box,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA2AC,In-Wall Accessories Box with 125V Duplex ,1,24-Jul-19,166,81.5,In-Wall Accessories Box with 125V Duplex ,"12.31 x 4.13 x 20.31"" (313 x 105 x 516mm)",BLACK,Plain,7,7.35029E+11,1.0735E+13,0,13.10 X 9.6 X 3.76,333 X 244 X 96,   ,EA,In-Wall Accessories Box with 125V Duplex ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA2AC-W,In-Wall Accessories Box with 125V Duplex ,1,24-Jul-19,166,81.5,In-Wall Accessories Box with 125V Duplex ,"12.31 x 4.13 x 20.31"" (313 x 105 x 516mm)",WHITE,Plain,7,7.35029E+11,1.0735E+13,0,13.10 X 9.6 X 3.76,333 X 244 X 96,   ,EA,In-Wall Accessories Box with 125V Duplex ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA3,In-Wall Accessories Box,1,24-Jul-19,77,37.96,In-Wall Accessories Box,"11.50 x 5.25 x 21.00"" (292 x 133 x 533mm)",BLACK,Plain,5,7.35029E+11,1.0735E+13,0,13.10 X 4.35 X 3.76,333 X 110 X 96,   ,EA,In-Wall Accessories Box,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA3-W,In-Wall Accessories Box,1,24-Jul-19,77,37.96,In-Wall Accessories Box,"11.50 x 5.25 x 21.00"" (292 x 133 x 533mm)",WHITE,Plain,5,7.35029E+11,1.0735E+13,0,13.10 X 4.35 X 3.76,333 X 110 X 96,   ,EA,In-Wall Accessories Box,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA3AC,In-Wall Accessories Box with 125V Duplex ,1,24-Jul-19,158,77.63,In-Wall Accessories Box with 125V Duplex ,"11.50 x 5.25 x 21.00"" (292 x 133 x 533mm)",BLACK,Plain,6,7.35029E+11,1.0735E+13,0,13.10 X 4.35 X 3.76,333 X 110 X 96,   ,EA,In-Wall Accessories Box with 125V Duplex ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
827731,SYNNEX CANADA,CORE,COREDIST,Mounts,IBA3AC-W,In-Wall Accessories Box with 125V Duplex ,1,24-Jul-19,158,77.63,In-Wall Accessories Box with 125V Duplex ,"11.50 x 5.25 x 21.00"" (292 x 133 x 533mm)",WHITE,Plain,6,7.35029E+11,1.0735E+13,0,13.10 X 4.35 X 3.76,333 X 110 X 96,   ,EA,In-Wall Accessories Box with 125V Duplex ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
